"","GEOID","total_population","white_population","non_white_percent"
"604","360470594031",962,422,56.1330561330561
"605","360470594033",1477,890,39.7427217332431
"606","360470594043",1362,1007,26.064610866373
"607","360470608003",1395,1085,22.2222222222222
"608","360610001001",0,0,NA
"609","360610006002",4119,580,85.9189123573683
"610","360610006005",1653,182,88.9897156684816
"611","360850187012",973,622,36.0739979445015
"612","360850187041",2010,1312,34.726368159204
"613","360850189012",1717,1089,36.5754222481072
"614","360850189022",2234,1582,29.1853178155774
"615","360850197002",1024,704,31.25
"616","360850198002",1192,1063,10.8221476510067
"617","360850201001",1814,839,53.7486218302095
"618","360850208041",2337,2073,11.2965340179718
"619","360850208051",1760,1399,20.5113636363636
"620","360850208061",1587,1284,19.0926275992439
"621","360850213002",950,210,77.8947368421053
"622","360850213005",872,159,81.7660550458716
"623","360850223002",1439,317,77.9708130646282
"624","360850226012",1622,1369,15.5980271270037
"625","360850226020",0,0,NA
"626","360850226023",22,8,63.6363636363636
"627","360850228012",0,0,NA
"628","360850231002",1267,285,77.5059194948698
"629","360850239002",1615,454,71.8885448916409
"630","360850244011",2073,1843,11.0950313555234
"631","360850244020",0,0,NA
"632","360850247001",1416,337,76.2005649717514
"633","360850248001",1551,1146,26.1121856866538
"634","360850277041",1882,1189,36.8225292242295
"635","360850277052",1536,943,38.6067708333333
"636","360850277062",1020,603,40.8823529411765
"637","360850279002",987,784,20.5673758865248
"638","360850291020",0,0,NA
"639","360850291041",1634,1027,37.1481028151775
"640","360850291044",1784,791,55.6614349775785
"641","360850291052",1218,863,29.1461412151067
"642","360850291062",1884,1268,32.6963906581741
"643","360850303021",1944,441,77.3148148148148
"644","360850303024",84,14,83.3333333333333
"645","360850319020",0,0,NA
"646","360850319023",1832,214,88.3187772925764
"647","360859901000",0,0,NA
"648","360050033003",1524,151,90.0918635170604
"649","360050035003",1313,191,85.4531607006854
"650","360050039001",1253,109,91.3008778930567
"651","360050039003",993,272,72.6082578046324
"652","360050040011",1739,228,86.8890166762507
"653","360050041003",123,6,95.1219512195122
"654","360050048001",1949,218,88.8147768086198
"655","360050050012",1498,81,94.5927903871829
"656","360050050021",2606,156,94.0138142747506
"657","360050050024",1397,116,91.696492483894
"658","360050051003",2421,182,92.4824452705494
"659","360050053001",2162,100,95.3746530989824
"660","360050054001",1411,61,95.6768249468462
"661","360050054004",1469,79,94.6221919673247
"662","360050056003",1094,64,94.1499085923218
"663","360050060001",1259,99,92.1366163621922
"664","360050061002",2188,54,97.5319926873857
"665","360050062001",1375,96,93.0181818181818
"666","360050062004",1296,72,94.4444444444444
"667","360050063011",905,84,90.7182320441989
"668","360050063014",1976,163,91.751012145749
"669","360050063021",19,0,100
"670","360050068003",1370,93,93.2116788321168
"671","360050069003",1340,89,93.3582089552239
"672","360050070002",974,38,96.0985626283368
"673","360050071002",1938,147,92.4148606811145
"674","360050072002",2263,175,92.2669023420239
"675","360050073001",1521,113,92.5706771860618
"676","360050074001",1189,120,89.9074852817494
"677","360050075001",1756,250,85.7630979498861
"678","360050075004",842,106,87.4109263657957
"679","360050076003",897,62,93.0880713489409
"680","360050077001",1974,187,90.5268490374873
